radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39937,188827140,244,132.6941278,33.7337614,0,286,1,1702112167,1743133042,
LTE,440,11,39937,188827141,125,132.6724168,33.7123038,0,98,1,1702112167,1743133042,
LTE,440,11,39937,188827142,39,132.6857020,33.7215595,0,9,1,1702367737,1732090537,
LTE,440,11,39937,188827393,173,132.7190154,33.7467854,0,123,1,1702535915,1733653432,
LTE,440,11,39937,188827394,136,132.7081981,33.7442137,0,133,1,1702112167,1743133041,
LTE,440,11,39938,188827397,342,132.9639011,33.6197978,0,32,1,1719447192,1719447519,
LTE,440,11,39938,188827398,69,132.6935933,33.3135332,0,38,1,1748319905,1748319905,
LTE,440,11,39937,188827649,189,132.7766665,33.9418884,0,57,1,1705398801,1734249107,
LTE,440,11,39937,188827650,10,132.7716679,33.9394257,0,18,1,1705398801,1734249107,
LTE,440,11,39937,188827651,167,132.7699366,33.9432709,0,36,1,1705398809,1731241911,
LTE,440,11,39938,188827906,301,132.5245612,33.6338609,0,178,1,1707444816,1719629793,
LTE,440,11,39938,188827908,173,132.5187257,33.6309745,0,257,1,1707444816,1719629793,
LTE,440,11,39938,188828161,225,132.9797132,33.6115310,0,36,1,1719447519,1719449554,
LTE,440,11,39937,188828423,357,132.9719826,34.0388081,0,62,1,1721303032,1734263681,
LTE,440,11,39937,188828424,337,132.9684218,34.0344573,0,69,1,1721303032,1734263680,
LTE,440,11,39937,188828425,92,132.9665684,34.0419403,0,104,1,1721303032,1734263681,
LTE,440,11,39938,188828674,20,132.6738179,33.2723472,0,43,1,1748319904,1748319905,
LTE,440,11,39938,188828676,246,132.5429568,33.4834298,0,53,1,1717739242,1719629786,
LTE,440,11,39938,188828929,366,132.6703657,33.6238275,0,50,1,1720497535,1732090529,
LTE,440,11,39938,188828930,178,132.6714803,33.6157843,0,30,1,1720497535,1720497535,
LTE,440,11,39938,188828931,302,132.6696249,33.6163797,0,2,1,1720497535,1720497535,
LTE,440,11,39938,188828932,46,132.2677241,33.4726177,0,3,1,1747708573,1747708573,
LTE,440,11,39938,188828933,299,132.2675520,33.4709059,0,29,1,1747708573,1747708573,
LTE,440,11,39937,188829191,10,133.6330102,33.9890170,0,52,1,1723787560,1723794660,
LTE,440,11,39937,188829192,11,133.6329506,33.9870273,0,2,1,1723787561,1723787561,
LTE,440,11,39937,188829193,254,133.6264075,33.9899970,0,42,1,1722666635,1746281007,
LTE,440,11,39938,188829441,153,132.4481549,33.4496375,0,61,1,1723084236,1747708581,
LTE,440,11,39937,188829442,5,132.8116041,33.9030870,0,1,1,1721260108,1721260108,
LTE,440,11,39938,188829443,378,132.6872005,33.3359631,0,111,1,1748319905,1748326901,
LTE,440,11,39938,188829700,43,132.7928212,33.3376381,0,22,1,1746280983,1748316951,
LTE,440,11,39938,188829701,44,132.7969055,33.3337389,0,64,1,1746280983,1748316951,
LTE,440,11,39937,188829953,73,132.9661825,34.0309327,0,47,1,1733653436,1734263680,
LTE,440,11,39937,188829954,72,132.9601245,34.0279663,0,41,1,1733653437,1734263680,
LTE,440,11,39937,188829955,9,132.6519999,33.6980135,0,342,1,1730944736,1743133042,
LTE,440,11,39937,188829956,259,132.6340865,33.6852701,0,41,1,1730944736,1743133042,
LTE,440,11,39937,188829960,66,132.5963024,33.6607965,0,81,1,1743126654,1743126654,
LTE,440,11,39937,188829961,251,132.5788799,33.6526070,0,28,1,1743126654,1743126654,
LTE,440,11,39938,188830209,300,132.6903002,33.3719753,0,55,1,1748326901,1748326901,
LTE,440,11,39938,188830210,324,132.6784017,33.3035696,0,32,1,1748319905,1748319905,
LTE,440,11,39938,188830211,30,132.4352748,33.4008542,0,4,1,1747708579,1747708579,
LTE,440,11,39938,188830212,98,132.4338379,33.4004597,0,13,1,1747708578,1747708579,
LTE,440,11,39938,188830213,102,132.4332449,33.4006405,0,46,1,1747708578,1747708579,
LTE,440,11,39937,188830465,223,133.6948876,34.0042918,0,2,1,1746281008,1746281008,
LTE,440,11,39938,189767425,11,132.7441258,33.2240140,0,80,1,1746280978,1748319903,
LTE,440,11,39937,189981953,399,132.5604021,33.6445135,0,50,1,1719629791,1719629791,
